公司名称,薪资,工作岗位,要求工作经验,要求学历,公司地址,公司人数,标签1,标签2,标签3,招聘链接
极略,10-15K·13薪,数据分析师,经验不限,学历不限,成都·武侯区·新会展中心,10000人以上,SQL,,,https://www.zhipin.com/job_detail/fbacfe1e1754b81b1XZ72t26FVdV.html?lid=89AapUgEF39.search.50&securityId=TuIOOFwZuDc4K-c1gKMRwqOjfEA82-cpDVT7hRuxZwqdPIbB11HSn7ZemW-xqJczx_WvKKOw7wPFWcl9c_218keARLRhoTGWxQ4QLlz9bI4Tc61_W_w~
新航路教育,10-15K,数据分析师,3-5年,本科,成都·武侯区·新会展中心,10000人以上,Python,Presto,SQL,https://www.zhipin.com/job_detail/5f61d8befa010e6e1nJy3Nm6E1FV.html?lid=89AapUgEF39.search.51&securityId=BGPG8CaJO3JRO-L1-rI_Ragy1P0LpbZy3wm7i5L8BmAFe4OE6KYY4QgsUEIOmRLxnw1XS-0Tvh64_dNdqluG39maiQ0NAqi-f3EJaW2SwV_wicuKUFg~
派可数据,10-15K,数据分析师,经验不限,本科,成都,10000人以上,SQL,Hadoop,,https://www.zhipin.com/job_detail/a5b9b7eca423fed81nB93tm9EFRQ.html?lid=89AapUgEF39.search.52&securityId=0WFLtRMQ2MRjo-f142BENOFfSuU1aGGdB8mXCYK7TK6hlZDihauqc9n2An1HzbWXVvHkRFmUtplSDRtmKgDNHC7eJK8eGccrDFKdOGtvQvTCOAS-zg~~
极略科技,7-10K,数据分析师,1-3年,大专,成都·武侯区·新会展中心,10000人以上,Python,mysql,,https://www.zhipin.com/job_detail/5f4aa6f487efe4f41XVz29i6E1VV.html?lid=89AapUgEF39.search.53&securityId=6zUxByVYDXKEM-L1oXmrTCKWVAy_oqwhurktGB7cfYEK-ZdVAO5pi0FzuoimLsMxYUZ-_2a4KulcP2nfL6nmcXeTkGcxiX-JlfNDQ7VHoXkCzTUvbrw~
绎达股份,4-6K,数据分析师,1-3年,硕士,成都,10000人以上,SPSS,Excel,,https://www.zhipin.com/job_detail/3ace51a9b69a5d1f0XZ-2tm8E1c~.html?lid=89AapUgEF39.search.54&securityId=2uuAYnZjLE5vl-W1W9jwXVQcUCMETzXBw2nNzPhXnsrPM1BEY99sFt40obO0jHalUpKPqcym7lBTMLAFxtCc2RYX_fLvPTP_mF6hpWVxKdSeOnUP
享宇科技,7-11K,数据分析师,3-5年,大专,成都·成华区·红星路,10000人以上,Python,BI大屏,Power BI,https://www.zhipin.com/job_detail/7d62b426f68e60931XZ40ty9EltQ.html?lid=89AapUgEF39.search.55&securityId=EoP1uhg36aslQ-h1VrawvFv093_R3f7-xYq2Id7xwPd4glybAs7rR_gN7DCllEEsEKu25voZQfZpy-bu3ECIGuvknIpov8DCCEWwMRYUsDjqvigYDr8~
六点水,11-12K,数据分析师,经验不限,本科,成都·双流区·中和,10000人以上,SPSS,,,https://www.zhipin.com/job_detail/92f2d57f5ad30c711XV_29y8FFZQ.html?lid=89AapUgEF39.search.56&securityId=2eslEwZQkvLXo-G1ROIJrH8fhVKupPV-j-MweoXxmn3wQR288W0I6OtnzOQZlAZwrFbUGgddmaxNePdW6L3LK6RlfWtovj3QSWS1LqOvVHBUtjgERNg~
融晟科技公司,11-20K,数据分析师,1-3年,本科,成都·武侯区·新会展中心,10000人以上,SQL,Spark,Hive,https://www.zhipin.com/job_detail/30d06676c60ef32a1XRz2dy8FFZW.html?lid=89AapUgEF39.search.57&securityId=zuVXWZSZggPo_-i116Pk1DLqDVhlbRvqr4pyEyuB5ov4_0Z4JO_lCQdi77ltzVmPBCFfgfLQW36HiZUyv3vkWtAMfTTP_Fnv4E0qHQYE7wsXrZngiw~~
京东集团,20-40K·14薪,数据分析师,1-3年,硕士,成都·武侯区·机投,10000人以上,SQL,多元统计分析,决策树,https://www.zhipin.com/job_detail/4daeda685eda43ea1XR52ti4FlBQ.html?lid=89AapUgEF39.search.58&securityId=p6U1zpKgsyo49-t1HS1n-h5npXa0pJyn7FoRF8Cw-LVlHC1hedfYTB2XH8SkVNuOgID2JTmQmsw_OZV218VyvueO-Z1jaq6MBWnPz6nrsbKU2w2q
佳发教育,7-12K·13薪,数据分析师,1-3年,本科,成都·武侯区·金花,10000人以上,Python,SPSS,SAS,https://www.zhipin.com/job_detail/8814cd1881be1f621XR53965EFBW.html?lid=89AapUgEF39.search.59&securityId=7J52vW5bsw8EC-s15lCMwC-IB9W8YbfgTZkTjKDFO-jX_9UPhVEKa8StG8JBY18Nj-mnaIubP4MBu5o58UX4wLQuYRUBUAwfP0ZcHuMss-S2IPykODzF7CDO9njdLWkNJo4yjFPfeR-n5a8x6UMCzWcs
乐超人,7-10K·13薪,数据分析师,1-3年,本科,成都·双流区·华阳,10000人以上,SQL,Excel,Python,https://www.zhipin.com/job_detail/4188e6131657fbaa1XZ53tm5FFBQ.html?lid=89AapUgEF39.search.60&securityId=8hlKGKrJ_x0hx-114_rh10ZW9Rgd9MxDFGoNBdwhXJsbVouiAbn7Mwm1XfTDnPY8wOL1aG3AMLyUUXlrGjudPfNcpJhrCNPNpPIzi3SAzf43p5f3ayPYsmIBHVJ6PfDmt6vDlpyKbH7vbrT3NSw-
我行我数,11-20K,数据分析师,3-5年,本科,成都·武侯区·桂溪,100-499人,Python,,,https://www.zhipin.com/job_detail/b131e54399c562731XV90tS1GFNW.html?lid=89AapUgEF39.search.61&securityId=wI3hrBjfs2a5r-C1ZdcfuZidGWHG2EpsV8v7rC0-MLG8W6MR8UTAhsOD4aNP7Uyvrb_J7KE9BHMLS0QvrDmjYo1VR9RopRPMoZT_Bi4XqYs037RVtSY~
成都新航在线教育...,11-20K,数据分析师,经验不限,硕士,成都,100-499人,Python,SPSS,SQL,https://www.zhipin.com/job_detail/93fd047a52e38d351nB-0tS4EFRX.html?lid=89AapUgEF39.search.62&securityId=lB4GThlFt3j8S-H1Ix0f3PbpdA7eoSyCbJ3KBIoP6QnOsD9QepBxBn4Pq1fdmsiBhSPlpvDK4VqfSmcew1k66QDCxdI_SQF4Tn4bq_6HYl_LI6VmoE2N
博问金服,10-13K·13薪,数据分析师,3-5年,本科,成都·武侯区·新会展中心,100-499人,Python,Excel,,https://www.zhipin.com/job_detail/0543b897308b8b991XZ53N2_FVJR.html?lid=89AapUgEF39.search.63&securityId=WGzOPSXuLlpXr-81BFiCSZDW0J77YDcSENJ1gz2BPabPcYeMXaLy2Ewo4h2D-ypub1uEOmiS6Ejsqf3JcNZg05dHOOOvszqec6kOdsnGXyu1S8QHfcK0jP_Sss9KUEjL4uNBwhohGTSz5FNXEVJ-nQ~~
去哪儿网,7-8K·13薪,数据分析师,1-3年,大专,成都·武侯区·孵化园,100-499人,Excel,SQL,mysql,https://www.zhipin.com/job_detail/8e4f2a209cba72ae1XR509S4EVBR.html?lid=89AapUgEF39.search.64&securityId=Kl6QFJvmyImfQ-71kBuColrRQEyPXiRE2edMV7udwuWXgO_6h6UFbK2jCncNLKVpsE7FLKC4jZXaeErABeEzT80MOwOx8KoK9B4xQjopFtvK9be2
上海冰鉴,20-30K,数据分析师,经验不限,本科,成都·武侯区·新会展中心,100-499人,Python,SQL,决策树,https://www.zhipin.com/job_detail/3433fe34dce70eeb1XV53t-1EFtR.html?lid=89AapUgEF39.search.65&securityId=DX36xT2mrJ-K0-91L8ra8JrDHV0H1QYpnrnkFcSeYTO1IeWl_zQj1fe9_oQyewGZ6dAYmVKvPlY-cL97bcHqWH4xQc5I6gXzzo84FYBDFZHbKNfsvgIrzvbBjz14sp_eUDI_nUa5RebQekoxPo7gUg~~
民生科技,20-40K,数据分析师,3-5年,本科,成都·武侯区·孵化园,100-499人,Power BI,,,https://www.zhipin.com/job_detail/f5a3a20bb2bfc1ca1XVz09--F1ZW.html?lid=89AapUgEF39.search.66&securityId=hYjqJlgtf5VOc-91mhi6-L3iKYv436NgIcW0u1Jc5lKGJ0exu8XmEVt4LI99frsI4rniLR8QBul2mcZ9WYuyDREJpjT_nosVlvFbY1Jm8TBpzpvXKg~~
中企通信,12-18K,数据分析师,1-3年,本科,成都·武侯区·省体育馆,100-499人,Python,Hive,Hadoop,https://www.zhipin.com/job_detail/c74a2a36855ca9c81nJz3t68E1NX.html?lid=89AapUgEF39.search.67&securityId=uaK6SVEvBvSGH-W1VXR7UqaSUrJSiq9b1XG2l5lU_VQMmBfozXDuVn7wOv8RGtX3x-dISZbvzkQu7RWyH3SVwmmeZltc_TTPhOf7p6Gi0gurc_jR
成都路行通,15-30K,数据分析师,3-5年,本科,成都·武侯区·新会展中心,100-499人,Python,SQL,方差分析,https://www.zhipin.com/job_detail/39267dbd86e25eba1XZ53NW-E1NX.html?lid=89AapUgEF39.search.68&securityId=SgbfabtHCxUge-J13tUuehBufA5nSoL0GA5lR4CdnliEJnAROsPEWz7-K2JKwRDcI6KfEZ1OJ5kqH2DxBEBb0ylcxQABofoY-tV28DApG9MYK8kYLg~~
必立弗音乐,8-13K,数据分析师 （Data Analyst）,3-5年,学历不限,成都·锦江区·万达广场,100-499人,Python,SQL,Tableau,https://www.zhipin.com/job_detail/c827d6c989048bc91XZ509u6F1RR.html?lid=89AapUgEF39.search.69&securityId=d1qjYGZkTTh3b-m1aAjxzetrLyAu7N7AdAQzv66pwFa_oXPrkqhD0BdsnC-dOleHynt1FRspuNfDoDH_EtkECGojSgdeiOqQb6L9mOscuRKIvs3shQ~~
智联数据,4-5K,数据分析师,1-3年,本科,成都·武侯区·孵化园,100-499人,Excel,SPSS,大数据,https://www.zhipin.com/job_detail/314d56cf5b4632381nd62NW-GFNX.html?lid=89AapUgEF39.search.70&securityId=4jkToF4m0ErPk-51aCcW76aize70xlMh2uMvK5WU13MD1etxZXnjzfKtLdOprBETuQxWeGEatk90smEpdkDWFkeVj2BywhhP9j37-AsPPadfvud40mOb
哈啰出行,5-10K,资深数据分析师,1-3年,本科,成都·锦江区·合江亭,100-499人,SQL,Python,R语言,https://www.zhipin.com/job_detail/15fedb4e30b381fa03Ny2tu6FVI~.html?lid=89AapUgEF39.search.71&securityId=2QRQie4kuPTpc-t1-GGCL2b4gxl3nyXLaGFi1xesR__XrJXbNEqCAlr93XLX3E__bbNZeqmG80zYG42SpORZYGR82kOHTmyUld6xO3UcwKp_SP8~
悦衣美萱,15-25K,高级数据分析师,5-10年,本科,成都·金牛区·人民北路,100-499人,Hive,SPSS,SAS,https://www.zhipin.com/job_detail/21df50171c905e381n142Nu5ElRV.html?lid=89AapUgEF39.search.72&securityId=o9XDnl6XrDx6I-61aG6PiWqs8sxRIC0UvFgLkzSlO35JqHuak0W4ytMPyYfRPriWgCZWPQADFysyyjULdO-EE642YA1U_GAY_cp7ImPi166aX7KNeNYZ
不问科技,4-8K,数据分析师-西昌,1-3年,本科,成都·武侯区·火车南站,100-499人,Python,SQL,Spark,https://www.zhipin.com/job_detail/ba3fdf875d4c885d1XV-39m_GVFQ.html?lid=89AapUgEF39.search.73&securityId=LM7Hzj9yte-ja-r14k4N698AI2SvGuXrqcJWO5KcyMRftRsnIS3kpXCcyBhI6-kADgmRT2ozIrqSiybsr3l3LKSImMVQbEaBu1iDt0YNSkSWPCnMWrc~
伏光光电,12-24K,数据分析师i,1-3年,大专,成都·武侯区·桂溪,100-499人,Python,,,https://www.zhipin.com/job_detail/b68668d7d938942b1XZ53dy5GVBQ.html?lid=89AapUgEF39.search.74&securityId=d9FOKSHq97ijs-Q15Li6sxmuOXuA_NO2RWTAWhDzphwqKn2zKZFET7Bx9uaF2iug_cWUlmsk4jKQEmwuf3bVhPKFunfVhwIlqaoP1qMkUEAM2ik49io~
美尔贝,15-25K,资深数据分析师,3-5年,本科,成都·武侯区·新会展中心,100-499人,Python,R,,https://www.zhipin.com/job_detail/167d778bead5e3271nN42Ni6GFFQ.html?lid=89AapUgEF39.search.75&securityId=R0du4NUFm383s-z1MYx0X5dO9PX6jEM4UUUFxdCA90_g8X9fmQ1YAcFM3vKeI_QtC-XHf_ZwPguok_nKy1W4OrmQDrn3Z5eFw1-TH7xR2BFv95gG
中海华晟,5-8K·13薪,数据分析师（成都）,1-3年,大专,成都·武侯区·高升桥,100-499人,SQL,Python,Excel,https://www.zhipin.com/job_detail/2150bb6cde27a2501nd73Nq8FVFR.html?lid=89AapUgEF39.search.76&securityId=nitNnHeZHggqr-x1vB5PdK14t33a6NCMcH4n40Y2qxaGbkAk7t40k-vBafvMHHVkDupg6NYYnKhTfM83weyASYOL9tiIRD6y7aInT_UVAU5Um-w-
北京华初咨询有限公司,5-7K,市场数据分析师,经验不限,本科,成都·武侯区·新会展中心,100-499人,Python,Excel,,https://www.zhipin.com/job_detail/969c52c9b84932171nBz2dq4F1ZR.html?lid=89AapUgEF39.search.77&securityId=PItktVxx039eC-i1yY0aaFRJgOMRH8t65cYPQfWVXehIFAFfXjhSuN_yi6B4gjgnFqjWzdFT4RjecKyhPCpFk6XDTOJbUI8JPaOXeQB9hZeYkR47vzSb
东信北邮,5-10K,数据分析师(成都）,3-5年,本科,成都·武侯区·航空路,100-499人,Python,,,https://www.zhipin.com/job_detail/ecff45d10a69a5821XR73dy1FFdZ.html?lid=89AapUgEF39.search.78&securityId=OjF8-3pKn9fRr-H1Cet8UHL2VztZo1425bfw2h4IrpB7goLax3R38u257n6yLvw5gkPUVWveKDOgBOhipkr4KfpUyXW17yIqt06chsevKuZBOBNP
乐狗科技,20-40K·13薪,数据分析师（分析向）,经验不限,本科,成都·武侯区·新会展中心,100-499人,回归分析,,,https://www.zhipin.com/job_detail/59cb7d9ee5d3bda21XV739u5F1tZ.html?lid=89AapUgEF39.search.79&securityId=-tRKev5FlL1tf-I1U-C6hZQBe5MJjWpOofoP6JXR6wnBPDbzbF4EE5ddhhJcIMdMnRjOr9YH3dAVq8XAWKg0iwtXPGuP5mQ79C7gbYldgmuDA_E4c3M~
赛诚科技,9-14K,数据分析师讲师,经验不限,学历不限,成都·武侯区·环球中心,100-499人,Power BI,Excel,Tableau,https://www.zhipin.com/job_detail/25b685236054cb3b1XVy3tS0F1dR.html?lid=89AapUgEF39.search.80&securityId=5JLLOADNVb6pK-Z1iQJ1_Q_OUREj4hOaIItpW4-overmwS9RD1QTdgFO7lVmvROzH7MrmxNr_Kx155os6nD1m2FVJLAEKKE7q-qERYc4k8q852XtrAJh
中创云讯,2-4K,数据分析师助理,经验不限,学历不限,成都·武侯区·武侯立交,100-499人,Excel,Tableau,,https://www.zhipin.com/job_detail/89ca588a740aa5a31XV92Ni0F1RR.html?lid=89AapUgEF39.search.81&securityId=6g2TjXMNnnuQ8-n1y5mN0iVMZzgvSZGCXTnfA7FjZ8gm-t7_-uUN24A7C2Zd_Uj7_O_INkZ-GUKcl3kHkINcFt4xpxvF9EoOZS_r3qpBwhPZr48pVg~~
声呐,4-7K·13薪,情报侦探/数据分析师助理,在校/应届,本科,成都·武侯区·新会展中心,100-499人,Excel,,,https://www.zhipin.com/job_detail/b63bf774f02be39c1nZz2du0EVBQ.html?lid=89AapUgEF39.search.82&securityId=kh3wMFypViGPd-s1tJ2F3depWyoTVzLBv4guDqcljafg2YSbdmFviOcrhfWEz7omyQLfo99fMMGXIN4k4_GConm1YOFODEU8hPC4tDlUh9S7dIOUYyM~
美科环境,6-10K·14薪,来源成因数据分析师（成都）,经验不限,硕士,成都·青羊区·琴台,100-499人,Python,PMF、ArcGIS,大气科学、气象学,https://www.zhipin.com/job_detail/36b7656c1efee7931XRz39q0ElZQ.html?lid=89AapUgEF39.search.83&securityId=rVtvFleg7Y7OF-d13z9JZV3-q4LkcNSzopUbYuwj0mB3eHmIXhqTxlZLdNxWtmbuKRZor1fP44mUuHLRj18ypfGAZMnY2u988gpsNN5pjpwkzix0Nqs~
久远银海,12-18K·13薪,数据分析师（市场监管行业部）,1-3年,本科,成都·锦江区·柳江,100-499人,Python,Scala,SQL,https://www.zhipin.com/job_detail/1383752a9c0db1981XZ82965F1dQ.html?lid=89AapUgEF39.search.84&securityId=uHOGAfgT4T7hi-V1bzdgkLQzfIlzXY5cV-L_BlCrnJEVjnSfi57o3Ps4Hu7tF4JqEMyJy5vrN2NCS8HJnZAOzK4Niia8OCgp2ahf6huckT9--H0r
药融云数字科技(...,11-18K,高级化学数据分析师/化学信息工程师,1-3年,硕士,成都·武侯区·孵化园,100-499人,Python,Excel,Matlab,https://www.zhipin.com/job_detail/9170251b9f312b651XV52d69E1VY.html?lid=89AapUgEF39.search.85&securityId=3KBcrapwQHT0Y-V1E0RrmMhnfMPjHTyIODgdcAGbvA0kjWj882qufA_xZiyCdlJEqPmHtcHqcfozM_M-buTXTZbdaT1TpvIgmScGBDxNDQx6NoSjjyk~
安天集团,15-28K·13薪,数据分析,3-5年,本科,成都·武侯区·新会展中心,100-499人,数据分析,数据挖掘,数据开发,https://www.zhipin.com/job_detail/f060a033e64ca6e31nV_2tS7GFpQ.html?lid=89AapUgEF39.search.86&securityId=Rn3yxL5dtH_wo-a1M7p3yCGJhpq7uIr_IyBHP1vebANmd33T2w23R1L9O-DZgTBi5NXEK6a5sZORsSLvDMKsFgE7heaqjXIgsHmuRnExMDKE3lQ~
鑫川丰越,5-10K,数据分析专员,1-3年,本科,成都·武侯区·环球中心,100-499人,数据分析,数据挖掘,数据仓库,https://www.zhipin.com/job_detail/fee36237e41654340HB409u5GVQ~.html?lid=89AapUgEF39.search.87&securityId=iIloznucVa6L6-F1e2f4ohWfe4W1-Qzicsut8ESpun84TzODSHUkIy1RuLOpCAz9xcFPlvTJ0DEHMWSA2G4CJ0QAY0cHTNf71w_vxw0NP55xMSZo
映潮科技,8-13K·13薪,数据分析建模,1-3年,本科,成都·武侯区·新会展中心,100-499人,数据分析,商业分析,,https://www.zhipin.com/job_detail/dd8ecbb38508a0e20HBz2t-0FVU~.html?lid=89AapUgEF39.search.88&securityId=UBjccXkA-GKH_-Z1WMuUoe3Goj_xlVNaHRatT4FiNGCW9UBnR9meg-iAfpuapR-PKVbK8GJst0jM7n0rL0-iiN26t1uGP6oK9eav9YTV6uv-4YrSIA~~
极客数学帮,100-150元/天,数据分析实习生(J11472),4天/周,3个月,成都·锦江区·万达广场,100-499人,office,教育培训,数据分析,https://www.zhipin.com/job_detail/bfab791d8b4bc6371nZ8296_F1FT.html?lid=89AapUgEF39.search.89&securityId=n4DYTgc7SbPFz-9194Q-0AYQ_Ne0QPUzF6IPB9Plpmsp7SbYS8m5iqCS8D1sRFrFfaWqTbYnVVD1Te8p9yKP7_YZpmBOVitUKqrJBb0ahYdRvaBX
北京字节跳动,15-30K,数据分析师,3-5年,本科,成都·武侯区·新会展中心,100-499人,Python,SQL,数据分析,https://www.zhipin.com/job_detail/393ec86d890af63d0XNz2dm7EVA~.html?lid=89AapUgEF39.search.90&securityId=E8CQGIoCpYdZH-f1HJjsWocN2LAbC8W6LqVMneXn2ClQ3yPIxcqJrWb97i3Fw3yoR8bon58s9tdEyVytr4kRkzUQz8D-PnielInz0oaVGl4i86M~
斑马网络,15-30K·15薪,数据分析师,3-5年,硕士,成都·武侯区·大源,1000-9999人,Python,SQL,回归分析,https://www.zhipin.com/job_detail/176a24e64b969bb61XZ_2NS9EFJT.html?lid=89AapUgEF39.search.91&securityId=oljdAxwQqh7oL-w1Bl-TWsqbYQZf46o7TwaM-v7jED0x6MmE8YhtHD66oSeF6CfcDQCO1LPr33iG3z3l33YRJE4FJlsUEn0M_qYG5pd5c_MhyH8zPw~~
云鉴未来,10-15K,数据分析师,1-3年,本科,成都·武侯区·金融城,1000-9999人,SQL,Python,SPSS,https://www.zhipin.com/job_detail/7ea2cadb3c15a4471XZ62966GFpY.html?lid=89AapUgEF39.search.92&securityId=8PZQzFLwuOuTI-o1blKkWzuz8FDt0RsbUNQ_hMSM-6pv7hR6vTgLVk14vvW4A5TPDaLOh6RmSqDaO5RlXWf9zCZpEIf3X-O-KEF5ggP_eWdbBNPRiEE~
星合互娱,14-18K,数据分析师,1-3年,本科,成都·武侯区·新会展中心,1000-9999人,Python,SQL,,https://www.zhipin.com/job_detail/698737de136c33cf1XVz39i5GVVQ.html?lid=89AapUgEF39.search.93&securityId=oEpe5gQU8EaYU--1Sfg5PMFET7c2qKegPmq12hIYwYhOISNijwlNIl8D7i2-28nGN1QfXNwNAxcnTB3YC_9H-XV0jro9N_RO3rtbPbCXaoN3q4i1Rg~~
望瑞柳,8-13K,数据分析师,在校/应届,硕士,成都·双流区·文星,1000-9999人,Stata,eviews,经管类,https://www.zhipin.com/job_detail/96950f304493a5b11nJ82tq_GFtW.html?lid=89AapUgEF39.search.94&securityId=JiSDBMF36BYzZ-V1nMu0a9NorxJSW7ToWb2vzlcd_c8X7zTihIpXjGEDMqIHDuEy54aRgAKLU-3GU8jXBeOzBW2TSloGloS3uyo2-qLERxxMRsCLV6mV
浩瀚深度,12-18K,数据分析师,1-3年,本科,成都·武侯区·高升桥,1000-9999人,Hadoop,Spark,HDFS,https://www.zhipin.com/job_detail/f6a5de98837de8471n190t-_E1tV.html?lid=89AapUgEF39.search.95&securityId=5HOIYHga1bLk1-R1RA3gPKtA8PO6fX5QzerrSqePkz04ZJqWiefhwY3qHBMFCIV2onFUwsU6EzIbEsdfAPwCenTAQpxb8yWGYdy5-_BlhCwFhIVMEQ~~
达实旗云,10-15K·14薪,数据分析师,3-5年,本科,成都·双流区·华阳,1000-9999人,Python,SQL,Spark,https://www.zhipin.com/job_detail/25ba7bb5f80ee8ee1XRz3dy5E1ZS.html?lid=89AapUgEF39.search.96&securityId=2Bv0zvM9OzBIU-N1OsOZILrW-R5AOifvHYMCvx_ZZsT5-KjweXI4wKzV-y9_Kyr027_nccIWVPMo5ENhLdyckCxtvrafVFsgmTS3rWOIzH4TBhhnH6E~
麦可思数据科技,6-10K·13薪,数据分析师（成都）,在校/应届,本科,成都·双流区·华阳,1000-9999人,SPSS,SAS,Excel,https://www.zhipin.com/job_detail/1897035d2cc0334b1XR43tS0ElpX.html?lid=89AapUgEF39.search.97&securityId=Ifgsu2ynZPFPC-y1_-Pt53Trnu84bmSOu86V3nJFHoFki-X-7WX2eZmw3gLkDScijnW9HGTMEP17hjpJ0JsXsnHpG2FUbCjv1F5Z_qY1sW5XM9sszaM~
